data,settimana,blocco,scarico,tipo,disciplina,minuti,km_indicativi,fc_min,fc_max,note
2026-11-04,6,base-1,,potenziamento,supporto,20,,,,"calf raise: due gambe, poi gamba singola, poi con carico"
2026-11-05,6,base-1,,facile,corsa,25,3.6,136,156,
2026-11-06,6,base-1,,mobilita,supporto,15,,,,mobilità caviglia e allungamento fascia plantare
2026-11-07,6,base-1,,facile_allunghi,corsa,25,3.6,136,156,"5x100m in scioltezza a fine seduta, recupero camminando"
2026-11-08,6,base-1,,lungo,corsa,55,8.0,136,156,tenere la FC nella metà bassa della zona
2026-11-10,7,base-1,,facile,corsa,26,3.8,136,156,
2026-11-11,7,base-1,,potenziamento,supporto,20,,,,"calf raise: due gambe, poi gamba singola, poi con carico"
2026-11-12,7,base-1,,facile,corsa,26,3.8,136,156,
2026-11-13,7,base-1,,mobilita,supporto,15,,,,mobilità caviglia e allungamento fascia plantare
2026-11-14,7,base-1,,facile_allunghi,corsa,26,3.8,136,156,"5x100m in scioltezza a fine seduta, recupero camminando"
2026-11-15,7,base-1,,lungo,corsa,60,8.8,136,156,tenere la FC nella metà bassa della zona
2026-11-17,8,base-1,si,facile,corsa,18,2.6,136,156,
2026-11-18,8,base-1,si,potenziamento,supporto,20,,,,"calf raise: due gambe, poi gamba singola, poi con carico"
2026-11-19,8,base-1,si,facile,corsa,18,2.6,136,156,
2026-11-20,8,base-1,si,mobilita,supporto,15,,,,mobilità caviglia e allungamento fascia plantare
2026-11-21,8,base-1,si,facile_allunghi,corsa,18,2.6,136,156,"5x100m in scioltezza a fine seduta, recupero camminando"
2026-11-22,8,base-1,si,lungo,corsa,42,6.2,136,156,tenere la FC nella metà bassa della zona
2026-11-24,9,base-1,,facile,corsa,29,4.2,136,156,
2026-11-25,9,base-1,,potenziamento,supporto,20,,,,"calf raise: due gambe, poi gamba singola, poi con carico"
2026-11-26,9,base-1,,facile,corsa,29,4.2,136,156,
2026-11-27,9,base-1,,mobilita,supporto,15,,,,mobilità caviglia e allungamento fascia plantare
2026-11-28,9,base-1,,facile_allunghi,corsa,29,4.2,136,156,"5x100m in scioltezza a fine seduta, recupero camminando"
2026-11-29,9,base-1,,lungo,corsa,70,10.2,136,156,tenere la FC nella metà bassa della zona
2026-12-01,10,base-1,,facile,corsa,30,4.4,136,156,
2026-12-02,10,base-1,,potenziamento,supporto,20,,,,"calf raise: due gambe, poi gamba singola, poi con carico"
2026-12-03,10,base-1,,facile,corsa,30,4.4,136,156,
2026-12-04,10,base-1,,mobilita,supporto,15,,,,mobilità caviglia e allungamento fascia plantare
2026-12-05,10,base-1,,facile_allunghi,corsa,30,4.4,136,156,"5x100m in scioltezza a fine seduta, recupero camminando"
2026-12-06,10,base-1,,gara,corsa,,5,,,Test 5 km — modalita: test
2026-12-08,11,base-2,,facile,corsa,26,3.8,136,156,
2026-12-09,11,base-2,,potenziamento,supporto,20,,,,"calf raise: due gambe, poi gamba singola, poi con carico"
2026-12-10,11,base-2,,tempo,corsa,38,5.5,156,170,blocco continuo in Z3 dentro una seduta con riscaldamento e defaticamento
2026-12-12,11,base-2,,facile,corsa,26,3.8,136,156,
2026-12-13,11,base-2,,lungo,corsa,80,11.7,136,156,tenere la FC nella metà bassa della zona
2026-12-15,12,base-2,si,facile,corsa,18,2.6,136,156,
2026-12-16,12,base-2,si,potenziamento,supporto,20,,,,"calf raise: due gambe, poi gamba singola, poi con carico"
2026-12-17,12,base-2,si,tempo,corsa,26,3.8,156,170,blocco continuo in Z3 dentro una seduta con riscaldamento e defaticamento
2026-12-19,12,base-2,si,facile,corsa,18,2.6,136,156,
2026-12-20,12,base-2,si,lungo,corsa,55,8.0,136,156,tenere la FC nella metà bassa della zona
2026-12-22,13,base-2,,facile,corsa,29,4.2,136,156,
2026-12-23,13,base-2,,potenziamento,supporto,20,,,,"calf raise: due gambe, poi gamba singola, poi con carico"
2026-12-24,13,base-2,,tempo,corsa,42,6.2,156,170,blocco continuo in Z3 dentro una seduta con riscaldamento e defaticamento
2026-12-26,13,base-2,,facile,corsa,29,4.2,136,156,
2026-12-27,13,base-2,,lungo,corsa,88,12.9,136,156,tenere la FC nella metà bassa della zona
2026-12-29,14,base-2,,facile,corsa,30,4.5,136,156,
2026-12-30,14,base-2,,potenziamento,supporto,20,,,,"calf raise: due gambe, poi gamba singola, poi con carico"
2026-12-31,14,base-2,,tempo,corsa,44,6.5,156,170,blocco continuo in Z3 dentro una seduta con riscaldamento e defaticamento
2027-01-02,14,base-2,,facile,corsa,30,4.5,136,156,
2027-01-03,14,base-2,,lungo,corsa,92,13.5,136,156,tenere la FC nella metà bassa della zona
2027-01-05,15,base-2,,facile,corsa,32,4.7,136,156,
2027-01-06,15,base-2,,potenziamento,supporto,20,,,,"calf raise: due gambe, poi gamba singola, poi con carico"
2027-01-07,15,base-2,,tempo,corsa,46,6.8,156,170,blocco continuo in Z3 dentro una seduta con riscaldamento e defaticamento
2027-01-09,15,base-2,,facile,corsa,32,4.7,136,156,
2027-01-10,15,base-2,,lungo,corsa,96,14.0,136,156,tenere la FC nella metà bassa della zona
2027-01-12,16,base-2,si,facile,corsa,22,3.2,136,156,
2027-01-13,16,base-2,si,potenziamento,supporto,20,,,,"calf raise: due gambe, poi gamba singola, poi con carico"
2027-01-14,16,base-2,si,tempo,corsa,31,4.6,156,170,blocco continuo in Z3 dentro una seduta con riscaldamento e defaticamento
2027-01-16,16,base-2,si,facile,corsa,22,3.2,136,156,
2027-01-17,16,base-2,si,lungo,corsa,65,9.5,136,156,tenere la FC nella metà bassa della zona
2027-01-19,17,build,,ripetute,corsa,36,5.2,,,"sforzo percepito 8/10, recupero completo; niente target FC col sensore ottico"
2027-01-20,17,build,,facile,corsa,24,3.6,136,156,
2027-01-21,17,build,,tempo,corsa,36,5.2,156,170,blocco continuo in Z3 dentro una seduta con riscaldamento e defaticamento
2027-01-22,17,build,,potenziamento,supporto,20,,,,"calf raise: due gambe, poi gamba singola, poi con carico"
2027-01-23,17,build,,facile,corsa,24,3.6,136,156,
2027-01-24,17,build,,lungo,corsa,100,14.6,136,156,tenere la FC nella metà bassa della zona
2027-01-26,18,build,,ripetute,corsa,37,5.4,,,"sforzo percepito 8/10, recupero completo; niente target FC col sensore ottico"
2027-01-27,18,build,,facile,corsa,26,3.7,136,156,
2027-01-28,18,build,,tempo,corsa,37,5.4,156,170,blocco continuo in Z3 dentro una seduta con riscaldamento e defaticamento
2027-01-29,18,build,,potenziamento,supporto,20,,,,"calf raise: due gambe, poi gamba singola, poi con carico"
2027-01-30,18,build,,facile,corsa,26,3.7,136,156,
2027-01-31,18,build,,lungo,corsa,105,15.4,136,156,tenere la FC nella metà bassa della zona
2027-02-02,19,build,,ripetute,corsa,38,5.6,,,"sforzo percepito 8/10, recupero completo; niente target FC col sensore ottico"
2027-02-03,19,build,,facile,corsa,27,3.9,136,156,
2027-02-04,19,build,,tempo,corsa,38,5.6,156,170,blocco continuo in Z3 dentro una seduta con riscaldamento e defaticamento
2027-02-05,19,build,,potenziamento,supporto,20,,,,"calf raise: due gambe, poi gamba singola, poi con carico"
2027-02-06,19,build,,facile,corsa,27,3.9,136,156,
2027-02-07,19,build,,lungo,corsa,110,16.1,136,156,tenere la FC nella metà bassa della zona
2027-02-09,20,build,si,ripetute,corsa,26,3.8,,,"sforzo percepito 8/10, recupero completo; niente target FC col sensore ottico"
2027-02-10,20,build,si,facile,corsa,18,2.6,136,156,
2027-02-11,20,build,si,tempo,corsa,26,3.8,156,170,blocco continuo in Z3 dentro una seduta con riscaldamento e defaticamento
2027-02-12,20,build,si,potenziamento,supporto,20,,,,"calf raise: due gambe, poi gamba singola, poi con carico"
2027-02-13,20,build,si,facile,corsa,18,2.6,136,156,
2027-02-14,20,build,si,lungo,corsa,75,10.9,136,156,tenere la FC nella metà bassa della zona
2027-02-16,21,build,,ripetute,corsa,41,6.1,,,"sforzo percepito 8/10, recupero completo; niente target FC col sensore ottico"
2027-02-17,21,build,,facile,corsa,29,4.2,136,156,
2027-02-18,21,build,,tempo,corsa,41,6.1,156,170,blocco continuo in Z3 dentro una seduta con riscaldamento e defaticamento
2027-02-19,21,build,,potenziamento,supporto,20,,,,"calf raise: due gambe, poi gamba singola, poi con carico"
2027-02-20,21,build,,facile,corsa,29,4.2,136,156,
2027-02-21,21,build,,lungo,corsa,120,17.6,136,156,tenere la FC nella metà bassa della zona
2027-02-23,22,build,,ripetute,corsa,43,6.3,,,"sforzo percepito 8/10, recupero completo; niente target FC col sensore ottico"
2027-02-24,22,build,,facile,corsa,30,4.3,136,156,
2027-02-25,22,build,,tempo,corsa,43,6.3,156,170,blocco continuo in Z3 dentro una seduta con riscaldamento e defaticamento
2027-02-26,22,build,,potenziamento,supporto,20,,,,"calf raise: due gambe, poi gamba singola, poi con carico"
2027-02-27,22,build,,facile,corsa,30,4.3,136,156,
2027-02-28,22,build,,lungo,corsa,125,18.3,136,156,tenere la FC nella metà bassa della zona
2027-03-02,23,specifico,,ripetute,corsa,43,6.3,,,"sforzo percepito 8/10, recupero completo; niente target FC col sensore ottico"
2027-03-03,23,specifico,,facile,corsa,30,4.3,136,156,
2027-03-04,23,specifico,,tempo,corsa,43,6.3,156,170,blocco continuo in Z3 dentro una seduta con riscaldamento e defaticamento
2027-03-06,23,specifico,,facile,corsa,30,4.3,136,156,
2027-03-07,23,specifico,,ritmo_gara,corsa,130,19.0,,,ultimi km del lungo al ritmo gara previsto
2027-03-09,24,specifico,si,ripetute,corsa,29,4.2,,,"sforzo percepito 8/10, recupero completo; niente target FC col sensore ottico"
2027-03-10,24,specifico,si,facile,corsa,20,2.9,136,156,
2027-03-11,24,specifico,si,tempo,corsa,29,4.2,156,170,blocco continuo in Z3 dentro una seduta con riscaldamento e defaticamento
2027-03-13,24,specifico,si,facile,corsa,20,2.9,136,156,
2027-03-14,24,specifico,si,ritmo_gara,corsa,89,13.0,,,ultimi km del lungo al ritmo gara previsto
2027-03-16,25,specifico,,ripetute,corsa,46,6.7,,,"sforzo percepito 8/10, recupero completo; niente target FC col sensore ottico"
2027-03-17,25,specifico,,facile,corsa,32,4.6,136,156,
2027-03-18,25,specifico,,tempo,corsa,46,6.7,156,170,blocco continuo in Z3 dentro una seduta con riscaldamento e defaticamento
2027-03-20,25,specifico,,facile,corsa,32,4.6,136,156,
2027-03-21,25,specifico,,ritmo_gara,corsa,143,21.0,,,ultimi km del lungo al ritmo gara previsto
2027-03-23,26,specifico,,ripetute,corsa,47,6.9,,,"sforzo percepito 8/10, recupero completo; niente target FC col sensore ottico"
2027-03-24,26,specifico,,facile,corsa,33,4.8,136,156,
2027-03-25,26,specifico,,tempo,corsa,47,6.9,156,170,blocco continuo in Z3 dentro una seduta con riscaldamento e defaticamento
2027-03-27,26,specifico,,facile,corsa,33,4.8,136,156,
2027-03-28,26,specifico,,ritmo_gara,corsa,150,22.0,,,ultimi km del lungo al ritmo gara previsto
2027-03-30,27,taper,,facile_allunghi,corsa,32,4.6,136,156,"5x100m in scioltezza a fine seduta, recupero camminando"
2027-04-01,27,taper,,facile,corsa,32,4.6,136,156,
2027-04-03,27,taper,,facile,corsa,32,4.6,136,156,
2027-04-06,28,taper,,facile_allunghi,corsa,32,4.6,136,156,"5x100m in scioltezza a fine seduta, recupero camminando"
2027-04-08,28,taper,,facile,corsa,32,4.6,136,156,
2027-04-10,28,taper,,facile,corsa,32,4.6,136,156,
2027-04-11,,,,gara,corsa,,21.1,,,Zurich Marathon — Halbmarathon — modalita: gara
